Entity,Code,Year,Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from land use change and forestry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport,Carbon dioxide emissions from manufacturing and construction,Fugitive emissions of carbon dioxide from energy production,Carbon dioxide emissions from electricity and heat,Carbon dioxide emissions from bunker fuels
Estonia,EST,2001,540000,380000,1039999.94,230000,1970000,1140000,,11080000,370000
Estonia,EST,2002,470000,360000,1080000,250000,2069999.9,820000,,10910000,430000
Estonia,EST,2003,500000,340000,1100000,270000,2000000,960000,,12680000,420000
Estonia,EST,2004,510000,360000,1170000,250000,2040000,960000,,12720000,570000
Estonia,EST,2005,500000,370000,1190000,240000,2150000,1020000,,12500000,530000
Estonia,EST,2006,460000,410000,1210000,210000,2300000,1020000,,11700000,830000
Estonia,EST,2007,420000,600000,1240000,220000,2410000,1300000,,14770000,960000
Estonia,EST,2008,400000,600000,1260000,220000,2320000,1170000,,12710000,1000000
Estonia,EST,2009,360000,259999.98,1290000,220000,2130000,740000,,10340000,820000
Estonia,EST,2010,360000,310000,1360000,220000,2240000,780000,,14520000,800000
Estonia,EST,2011,410000,420000,-3480000,270000,2240000,840000,,14270000,730000
Estonia,EST,2012,420000,410000,-3470000,270000,2280000,820000,,12720000,1460000
Estonia,EST,2013,420000,400000,-3450000,270000,2230000,1060000,,14450000,1480000
Estonia,EST,2014,440000,420000,-3470000,330000,2230000,810000,,13280000,1170000
Estonia,EST,2015,440000,210000,-3470000,340000,2300000,660000,,10450000,1070000
Estonia,EST,2016,450000,190000,4600000,330000,2350000,680000,,11910000,1000000
Estonia,EST,2017,430000,310000,4600000,320000,2430000,640000,,12650000,1170000
Estonia,EST,2018,430000,300000,4630000,320000,2460000,660000,,11560000,1140000
Estonia,EST,2019,410000,300000,4620000,300000,2430000,730000,,5900000,780000
Estonia,EST,2020,400000,20000,4640000,280000,2260000,470000,,3610000,1000000
Estonia,EST,2021,410000,0,4640000,210000,2380000,350000,,4940000,1080000
Eswatini,SWZ,1990,100000,0,-129999.99,30000,450000,250000,,270000,0
Eswatini,SWZ,1991,110000,0,-129999.99,30000,460000,250000,,240000,0
Eswatini,SWZ,1992,80000,0,-129999.99,30000,440000,150000,,210000,0
Eswatini,SWZ,1993,80000,0,-129999.99,40000,440000,160000,,100000,0
Eswatini,SWZ,1994,150000,0,-129999.99,40000,450000,720000,,100000,0
Eswatini,SWZ,1995,150000,0,-129999.99,40000,450000,720000,,50000,0
Eswatini,SWZ,1996,140000,0,-129999.99,40000,300000,600000,,50000,0
Eswatini,SWZ,1997,150000,0,-129999.99,40000,410000,490000,,60000,0
Eswatini,SWZ,1998,150000,0,-129999.99,40000,430000,490000,,60000,0
Eswatini,SWZ,1999,160000,0,-129999.99,40000,490000,519999.97,,50000,0
Eswatini,SWZ,2000,50000,0,-129999.99,40000,510000,330000,,160000,0
Eswatini,SWZ,2001,80000,0,-129999.99,30000,440000,390000,,170000,0
Eswatini,SWZ,2002,60000,0,-129999.99,30000,450000,320000,,220000,0
Eswatini,SWZ,2003,50000,0,-129999.99,30000,470000,240000,,210000,0
Eswatini,SWZ,2004,50000,0,-129999.99,30000,470000,230000,,210000,0
Eswatini,SWZ,2005,40000,0,-129999.99,30000,500000,220000,,200000,0
Eswatini,SWZ,2006,40000,0,-129999.99,30000,500000,220000,,210000,0
Eswatini,SWZ,2007,40000,0,-129999.99,30000,519999.97,220000,,220000,0
Eswatini,SWZ,2008,40000,0,-129999.99,30000,490000,230000,,220000,0
Eswatini,SWZ,2009,40000,0,-129999.99,30000,560000,190000,,220000,0
Eswatini,SWZ,2010,30000,0,-129999.99,40000,590000,120000,,80000,0
Eswatini,SWZ,2011,80000,0,-129999.99,80000,519999.97,90000,,40000,0
Eswatini,SWZ,2012,80000,0,-129999.99,30000,519999.97,129999.99,,50000,0
Eswatini,SWZ,2013,90000,0,-129999.99,30000,670000,110000,,50000,0
Eswatini,SWZ,2014,100000,0,-129999.99,30000,670000,129999.99,,50000,0
Eswatini,SWZ,2015,110000,0,-129999.99,30000,610000,220000,,40000,0
Eswatini,SWZ,2016,170000,0,-129999.99,30000,550000,310000,,60000,0
Eswatini,SWZ,2017,129999.99,0,-129999.99,20000,630000,280000,,40000,10000
Eswatini,SWZ,2018,129999.99,0,-129999.99,20000,630000,280000,,40000,10000
Eswatini,SWZ,2019,50000,0,-129999.99,60000,720000,259999.98,,80000,10000
Eswatini,SWZ,2020,50000,0,-129999.99,60000,710000,250000,,80000,0
Eswatini,SWZ,2021,50000,0,-129999.99,60000,770000,270000,,90000,0
Ethiopia,ETH,1990,120000,140000,25050000,270000,930000,550000,,300000,560000
Ethiopia,ETH,1991,129999.99,120000,25050000,270000,930000,560000,,320000,580000
Ethiopia,ETH,1992,240000,120000,25050000,100000,730000,259999.98,,70000,120000
Ethiopia,ETH,1993,340000,140000,25050000,120000,880000,390000,,80000,150000
Ethiopia,ETH,1994,380000,190000,25050000,129999.99,980000,510000,,70000,190000
Ethiopia,ETH,1995,440000,250000,25090000,150000,1090000,560000,,80000,200000
Ethiopia,ETH,1996,530000,280000,25090000,170000,1210000,610000,,70000,190000
Ethiopia,ETH,1997,580000,310000,25100000,190000,1280000,660000,,50000,170000
Ethiopia,ETH,1998,550000,300000,25140000,210000,1410000,720000,,40000,170000
Ethiopia,ETH,1999,530000,259999.98,25180000,210000,1450000,710000,,20000,190000
Ethiopia,ETH,2000,560000,360000,25180000,240000,1590000,790000,,20000,210000
Ethiopia,ETH,2001,780000,360000,29760000,300000,1990000,960000,,20000,250000
Ethiopia,ETH,2002,800000,360000,29810000,310000,2079999.9,1000000,,20000,240000
Ethiopia,ETH,2003,1110000,450000,29790000,330000,2170000,950000,,10000,230000
Ethiopia,ETH,2004,960000,519999.97,29810000,380000,2340000,1110000,,20000,340000
Ethiopia,ETH,2005,800000,620000,29850000,350000,2120000,1150000,,10000,460000
Ethiopia,ETH,2006,850000,680000,29870000,390000,2260000,1230000,,10000,560000
Ethiopia,ETH,2007,950000,630000,29870000,430000,2450000,1340000,,170000,690000
Ethiopia,ETH,2008,970000,710000,29890000,440000,2540000,1390000,,450000,680000
Ethiopia,ETH,2009,930000,650000,29940000,460000,2650000,1370000,,490000,780000
Ethiopia,ETH,2010,880000,630000,29940000,470000,2710000,1740000,,60000,1010000
Ethiopia,ETH,2011,870000,800000,30430000,510000,2860000,2470000,,50000,1010000
Ethiopia,ETH,2012,980000,1360000,30430000,570000,3250000,2340000,,20000,1180000
Ethiopia,ETH,2013,970000,1750000,30410000,670000,3800000,2940000,,10000,1300000
Ethiopia,ETH,2014,1140000,2100000,30360000,740000,4240000,3880000,,10000,1450000
Ethiopia,ETH,2015,1010000,2910000,30360000,800000,4710000,3570000,,0,1520000
Ethiopia,ETH,2016,750000,3290000,30600000,990000,5730000,4400000,,0,1880000
Ethiopia,ETH,2017,470000,3530000,30590000,1010000,6070000,4060000,,0,2180000
Ethiopia,ETH,2018,460000,3680000,30540000,1130000,6740000,4710000,,0,2330000
Ethiopia,ETH,2019,490000,3720000,30450000,1260000,7530000,5170000,,0,2610000
Ethiopia,ETH,2020,460000,3760000,30480000,1060000,6890000,4030000.2,,0,1210000
Ethiopia,ETH,2021,470000,3680000,30480000,1090000,7150000,4200000,,0,1570000
Europe,,1990,1076110000,98170000,-610740000,261010020,1158459900,1235280000,6670000,3454240000,231240000
Europe,,1991,1090390000,90700000,-610740000,252300000,1171220000,1136610000,7130000,3425699800,217630000
Europe,,1992,979210050,132649990,-610779970,186160000,1150750000,1041000000,51120000,3299570200,219270000
Europe,,1993,987870000,119810000,-610840000,214410000,1104390000,937140030,65150000,3082530000,218500000
Europe,,1994,921960000,119150000,-610930000,169690000,1074670100,883340000,80100010,2938870000,217950000
Europe,,1995,912190000,120970000,-610290000,169600000,1067610000,936530000,81440000,2873630200,222410000
Europe,,1996,971190000,112820000,-610710000,157870000,1086170000,904059970,75479990,2895890000,231910000
Europe,,1997,906320000,114930000,-611010000,151820000,1091740000,884770050,71640000,2768710000,245770000
Europe,,1998,882130000,117100000,-610459970,137830000,1147130000,837430000,77540000,2766020000,256670020
Europe,,1999,887669950,118890000,-608920000,130990010,1161920000,818460000,76000000,2725460000,258230020
Europe,,2000,859419970,122080000,-607890000,133770010,1150550000,854530000,82080000,2763310000,273450020
Europe,,2001,900310000,120360000,-1057349950,132740010,1173070000,850550000,83950000,2785850000,275429980
Europe,,2002,857620000,121420000,-1057760000,128649990,1188309900,833339970,88920010,2809930000,276589980
Europe,,2003,888520000,125210000,-1058290050,122460000,1213790100,846280000,104040000,2910830000,282750000
Europe,,2004,880900030,132670000,-1058500000,123630000,1254320000,830380000,98200010,2872210000,298840000
Europe,,2005,870440000,135360000,-1058349950,117400000,1253560000,795200000,113549990,2883270100,309869980
Europe,,2006,872190000,141500000,-1058490000,108290000,1277969900,783510000,98340000,2955070000,326389980
Europe,,2007,789250000,150610000,-1058580000,106900000,1298860000,804950000,101650000,2940080000,338200000
Europe,,2008,843610000,138980000,-1058850000,105340000,1293410000,777260000,82050000,2849670000,341360000
Europe,,2009,807339970,111590000,-1058890000,95610000,1237300100,660850000,90820000,2623470000,312090000
Europe,,2010,845930000,113660000,-1058260030,96650000,1247880100,711469950,69580000,2741960000,317690020
Europe,,2011,759520000,116290000,-1179180000,97710000,1245969900,716410000,73229990,2780690000,327840000
Europe,,2012,762469950,112090000,-1178699900,93900000,1200119900,738340000,46080000,2763000000,310970020
Europe,,2013,772730000,109960000,-1178670100,94020010,1194689900,725540000,40590000,2638940000,312690020
Europe,,2014,692880000,112540000,-1178830000,92900000,1201380000,735300000,37570000,2453370000,339700000
Europe,,2015,723000000,108110000,-1178790000,90370000,1212949900,719190000,39840000,2411470000,338109980
Europe,,2016,747960000,105800000,-708310000,91260000,1236439900,723210050,44970000,2337790000,339100000
Europe,,2017,762730000,108230000,-708180000,92060000,1258530000,720960000,40020000,2312840200,356180000
Europe,,2018,786140000,109200000,-706730000,99880000,1269569900,719960000,42180000,2273879800,368950000
Europe,,2019,769179970,109840000,-706330050,98130000,1273420000,736110000,45240000,2146170000,366380000
Europe,,2020,752310000,106990000,-705880000,108070000,1105089900,711370000,46780000,1952340000,236770000
Europe,,2021,779170000,111240000,-705880000,115990000,1206370000,757020000,48770000,2091620100,254000000
European Union (27),,1990,600290000,87230000,-206750000,96830000,642660030,668619970,430000,1474540000,158710000
European Union (27),,1991,628710000,81510000,-206750000,97820000,651029950,606080000,1839999.9,1466170000,157140000
European Union (27),,1992,584240000,86570000,-206860000,91310000,668940000,550120000,1490000,1433860000,161830000
European Union (27),,1993,590000000,81210000,-206890000,93800000,674020030,530730000,1310000,1381410000,164330000
European Union (27),,1994,549460030,86490000,-206940000,94600000,678660000,546890000,2000000,1383770000,166620000
European Union (27),,1995,561029950,89940000,-206620000,94120000,687310000,562090000,3130000,1395460000,170250000
European Union (27),,1996,612029950,86830000,-206880000,96080000,710030000,559480000,3090000,1425800100,177940000
European Union (27),,1997,571550000,88780000,-206940000,94390000,721310000,558830000,3080000,1384890000,189120000
European Union (27),,1998,559280000,90630000,-206670000,93250000,750510000,532039970,3280000,1384370000,198250000
European Union (27),,1999,549789950,92060000,-205920000,87160000,768330050,507630000,3610000,1347830000,199160000
European Union (27),,2000,524810000,93290000,-205099980,86630000,768240000,520760000,3360000.2,1368119900,212210000
European Union (27),,2001,561530050,91050000,-244090000,84299990,782770050,512840030,3400000,1386440000,214250000
European Union (27),,2002,539380030,90130000,-244260020,82290000,790800000,498690020,3210000,1409490000,216750000
European Union (27),,2003,567179970,91380010,-244480000,75330000,804990000,508410020,3209999.8,1453270000,223440000
European Union (27),,2004,562859970,95560000,-244400000,76600000,824590000,492720000,3010000.2,1452750000,236540020
European Union (27),,2005,562950000,96030000,-244120000,76970000,822880000,482210000,2980000,1447070000,243060000
European Union (27),,2006,560990000,98800000,-244010000,73970000,834740000,465770000,2960000,1462380000,257730020
European Union (27),,2007,485320000,103240000,-243830000,69740000,843300000,466570020,2860000,1486730000,268989980
European Union (27),,2008,527450020,96060000,-243660000,68550000,826610000,447740000,2570000,1410260000,269060000
European Union (27),,2009,515429980,78540000,-243410000,66059996,800080000,371730020,2340000,1298110000,242730000
European Union (27),,2010,541580000,76980000,-242980000,68530000,793710000,399589980,2020000,1334510000,244760000
European Union (27),,2011,474390000,75710000,-503640000,65960000,787920000,398800000,2100000.2,1317360000,246980000
European Union (27),,2012,486350000,71350000,-503530000,64400000,757650000,383829980,1980000,1296170000,235510020
European Union (27),,2013,495790000,67600000,-503500000,64550004,750610000,376820000,320000,1228430000,228430000
European Union (27),,2014,422620000,70810000,-503580000,62320000,757450000,365900000,380000,1159990000,225709980
European Union (27),,2015,445900000,70220000,-503570020,61280000,772050000,363660000,370000,1183880100,230940000
European Union (27),,2016,454650000,70150000,-162890000,60710000,791099970,368110000,410000,1161890000,239930000
European Union (27),,2017,451880000,72300000,-162680000,61470000,805820000,368570020,310000,1168610000,250120000
European Union (27),,2018,433140000,73630000,-161770000,69270010,805110000,374600000,340000,1109000000,260269980
European Union (27),,2019,421970020,73560000,-161540000,68680000,811530000,362460000,240000,990570000,261350000
European Union (27),,2020,417650000,70410000,-161340000,70320000,699710000,349630000,229999.98,860340000,176120020
European Union (27),,2021,428530000,72440000,-161340000,70300000,765010000,379530000,229999.98,936029950,192280000
Fiji,FJI,1990,70000,30000,-2570000,40000,410000,90000,,60000,280000
Fiji,FJI,1991,50000,30000,-2570000,50000,420000,100000,,60000,220000
Fiji,FJI,1992,50000,30000,-2570000,50000,450000,110000,,60000,290000
Fiji,FJI,1993,50000,30000,-2570000,50000,430000,120000,,60000,330000
Fiji,FJI,1994,50000,40000,-2570000,40000,420000,120000,,80000,360000
Fiji,FJI,1995,50000,40000,-2570000,10000,430000,120000,,100000,380000
Fiji,FJI,1996,50000,30000,-2570000,20000,430000,120000,,150000,400000
Fiji,FJI,1997,50000,40000,-2570000,20000,430000,129999.99,,120000,430000
Fiji,FJI,1998,50000,40000,-2570000,20000,420000,120000,,120000,450000
Fiji,FJI,1999,50000,40000,-2570000,20000,420000,120000,,140000,500000
Fiji,FJI,2000,40000,40000,-2570000,20000,460000,129999.99,,160000,700000
Fiji,FJI,2001,60000,0,-2570000,80000,560000,150000,,200000,530000
Fiji,FJI,2002,50000,0,-2570000,30000,440000,129999.99,,230000,420000
Fiji,FJI,2003,60000,0,-2570000,50000,470000,170000,,290000,519999.97
Fiji,FJI,2004,60000,0,-2570000,110000,510000,350000,,290000,780000
Fiji,FJI,2005,30000,0,-2570000,0,480000,240000,,320000,680000
Fiji,FJI,2006,50000,0,-2570000,50000,530000,250000,,320000,680000
Fiji,FJI,2007,50000,0,-2570000,30000,540000,290000,,210000,640000
Fiji,FJI,2008,50000,0,-2570000,10000,380000,190000,,200000,440000
Fiji,FJI,2009,50000,0,-2570000,10000,300000,150000,,220000,330000
Fiji,FJI,2010,60000,0,-2570000,10000,470000,230000,,290000,519999.97
Fiji,FJI,2011,60000,0,-2580000,10000,460000,210000,,230000,160000
Fiji,FJI,2012,60000,0,-2580000,10000,460000,210000,,200000,170000
Fiji,FJI,2013,60000,0,-2580000,10000,570000,200000,,220000,200000
Fiji,FJI,2014,70000,0,-2580000,10000,630000,190000,,310000,220000
Fiji,FJI,2015,80000,0,-2580000,10000,620000,230000,,330000,230000
Fiji,FJI,2016,100000,0,-2570000,10000,620000,190000,,290000,230000
Fiji,FJI,2017,90000,0,-2570000,10000,670000,240000,,320000,270000
Fiji,FJI,2018,110000,0,-2570000,10000,740000,240000,,290000,300000
Fiji,FJI,2019,100000,0,-2570000,10000,740000,250000,,300000,280000
Fiji,FJI,2020,90000,0,-2570000,0,500000,180000,,250000,100000
Fiji,FJI,2021,90000,0,-2570000,0,540000,180000,,259999.98,120000
Finland,FIN,1990,6530000,730000,-25860000,2110000,11720000,13610000,,19870000,2780000
Finland,FIN,1991,6780000,570000,-25860000,1800000,11400000,13110000,,21470000,2640000
Finland,FIN,1992,6670000,470000,-25860000,1960000,11350000,12690000,,19130000,2980000
Finland,FIN,1993,5600000,360000,-25860000,1950000,11120000,12220000,,22200000,2460000
Finland,FIN,1994,5960000,360000,-25860000,1700000,11560000,13450000,,26880000,2130000
Finland,FIN,1995,6060000,380000,-25840000,1700000,11360000,11760000,,24840000,1920000
Finland,FIN,1996,5960000,380000,-25830000,1740000,11090000,11640000,,31770000,2120000
Finland,FIN,1997,5610000,450000,-25790000,1700000,11700000,11930000,,29240000,2260000
Finland,FIN,1998,5740000,450000,-25720000,1740000,11860000,13390000,,24090000,2640000
Finland,FIN,1999,4900000,480000,-25360000,1670000,12170000,12790000,,24500000,2830000
Finland,FIN,2000,3530000,500000,-24960000,2440000,11750000,10930000,,25940000,3150000
Finland,FIN,2001,3760000,500000,-9560000,2870000,11890000,10860000,,31210000,2870000
Finland,FIN,2002,3680000,480000,-9430000,2730000,12070000,10500000,,33980000,3090000
Finland,FIN,2003,3600000,470000,-9330000,3050000,12270000,10170000,,42150000,3110000
Finland,FIN,2004,3500000,530000,-9030000,2550000,12600000,10240000,,38260000,2880000
Finland,FIN,2005,3350000,540000,-8960000,2440000,12630000,9740000,,26760000,2860000
Finland,FIN,2006,3320000,570000,-8920000,2250000,12810000,9760000,,38320000,3160000
Finland,FIN,2007,3180000,610000,-8870000,2410000,13150000,9410000,,36340000,3060000
Finland,FIN,2008,2520000,620000,-8810000,2390000,12530000,8970000,,29630000,3010000
Finland,FIN,2009,2600000,390000,-8700000,2240000,11960000,7480000,,29500000,2310000
Finland,FIN,2010,3080000,530000,-8600000,2140000,12470000,9040000,,35300000,2270000
Finland,FIN,2011,2480000,560000,-48390000,1990000,12290000,8390000,,29440000,2530000
Finland,FIN,2012,2630000,500000,-48330000,2100000,11990000,7630000,,24590000,2220000
Finland,FIN,2013,2330000,480000,-48320000,1990000,11830000,7480000,,26070000,2300000
Finland,FIN,2014,2270000,470000,-48270000,1940000,10710000,7450000,,23330000,2170000
Finland,FIN,2015,2060000,460000,-48270000,2120000,10700000,7140000,,20330000,2850000
Finland,FIN,2016,2170000,550000,13030000,2130000,11910000,7260000,,21710000,2820000
Finland,FIN,2017,2079999.9,600000,13170000,2100000,11310000,7260000,,19840000,3150000
Finland,FIN,2018,1970000,600000,13570000,1960000,11510000,7360000,,21020000,3350000
Finland,FIN,2019,1880000,580000,13840000,2130000,11110000,7180000,,18390000,3560000
Finland,FIN,2020,1690000,570000,13960000,2260000,10320000,6640000,,15110000,1820000
Finland,FIN,2021,1730000,620000,13960000,1830000,9870000,6890000,,15590000,1710000
France,FRA,1990,85630000,10940000,-24320000,11110000,113230000,60550000,,74840000,17280000
France,FRA,1991,95240000,10390000,-24320000,11350000,116850000,61000000,,85860000,16780000
France,FRA,1992,92810000,9340000,-24320000,11500000,119360000,61370000,,74280000,17840000
France,FRA,1993,89770000,8590000,-24320000,11720000,120480000,57490000,,61470000,17750000
France,FRA,1994,84320000,8780000,-24330000,11450000,121380000,57200000,,61350000,17560000
France,FRA,1995,84210000,8640000,-24320000,11480000,122320000,59370000,,66269996,18350000
France,FRA,1996,93050000,8440000,-24320000,11720000,122120000,62630000,,70000000,19470000
France,FRA,1997,87610000,8109999.5,-24330000,11650000,124640000,61620000,,65510004,20450000
France,FRA,1998,91070000,8690000,-24340000,13770000,129119990,58470000,,80070000,22040000
France,FRA,1999,92510000,8390000,-24370000,13790000,129520010,56620000,,74180000,23370000
France,FRA,2000,85700000,8560000,-24380000,13800000,132479990,55450000,,77250000,24210000
France,FRA,2001,90650000,8660000,-65760004,14110000,134220000,59340000,,69880000,22680000
France,FRA,2002,84320000,8640000,-65800004,14290000,134140000,57160000,,72620000,22500000
France,FRA,2003,89110000,8560000,-65850000,14450000,132820010,56630000,,75270000,23030000
France,FRA,2004,92870000,9070000,-65920000,14930000,133060000,53080000,,74940000,25100000
France,FRA,2005,90400000,9110000,-65920000,14480000,130800000,55130000,,80900000,24520000
France,FRA,2006,85630000,9310000,-65920000,14090000,131119990,54840000,,76750000,25580000
France,FRA,2007,77100000,9480000,-65920000,13700000,130289990,54030000,,78460000,26420000
France,FRA,2008,83560000,8880000,-65930000,13970000,124320000,52540000,,74950000,25420000
France,FRA,2009,85500000,7680000,-65930000,13790000,122930000,41250000,,72740000,23820000
France,FRA,2010,83930000,7890000,-65930000,13360000,123270000,45100000,,74390000,23900000
France,FRA,2011,69970000,8069999.5,-60540000,13610000,128160000,50250000,,64620004,25130000
France,FRA,2012,76490000,7500000,-60540000,12730000,127090000,47730000,,66400000,24200000
France,FRA,2013,79130000,7300000,-60540000,13180000,126070000,48870000,20000,63600000,23320000
France,FRA,2014,63660000,6980000,-60550000,13050000,126220000,46250000,40000,49530000,22390000
France,FRA,2015,66730004,6610000,-60550000,12800000,127430000,44620000,50000,52610000,22680000
France,FRA,2016,67560000,6640000,-61430000,11450000,127970000,46300000,30000,53350000,22110000
France,FRA,2017,67430000,6480000,-61430000,11150000,128539990,41390000,20000,62220000,22670000
France,FRA,2018,63250000,6700000,-61420000,11310000,125650000,40360000,20000,59390000,23990000
France,FRA,2019,61550000,6810000,-61450000,11350000,125360000,38440000,20000,56750000,24070000
France,FRA,2020,58140000,6200000,-61450000,12230000,106000000,35890000,10000,48270000,11090000
France,FRA,2021,62240000,6500000,-61450000,12510000,118910000,46130000,10000,51970000,11510000
Gabon,GAB,1990,120000,50000,3430000,30000,320000,140000,3140000,310000,280000
Gabon,GAB,1991,129999.99,50000,3430000,40000,390000,200000,3430000,320000,259999.98
Gabon,GAB,1992,129999.99,50000,3430000,30000,370000,270000,3370000,310000,860000
Gabon,GAB,1993,129999.99,50000,3430000,40000,390000,310000,3400000,330000,830000
Gabon,GAB,1994,170000,50000,3430000,20000,310000,410000,3400000,259999.98,690000
Gabon,GAB,1995,170000,60000,3430000,20000,340000,450000,3830000,330000,640000
Gabon,GAB,1996,180000,80000,3430000,20000,350000,460000,4310000,410000,570000
Gabon,GAB,1997,180000,80000,3430000,30000,380000,510000,3960000,420000,690000
Gabon,GAB,1998,170000,80000,3430000,30000,410000,519999.97,4690000,490000,740000
Gabon,GAB,1999,170000,70000,3470000,30000,390000,490000,4430000,460000,760000
Gabon,GAB,2000,150000,80000,3480000,20000,320000,519999.97,4530000,450000,840000
Gabon,GAB,2001,150000,100000,2970000,20000,360000,530000,4650000,420000,840000
Gabon,GAB,2002,170000,100000,2980000,20000,390000,340000,4460000,450000,880000
Gabon,GAB,2003,160000,100000,2990000,20000,350000,360000,4940000,500000,850000
Gabon,GAB,2004,160000,100000,3000000,20000,370000,340000,4550000,530000,840000
Gabon,GAB,2005,170000,100000,3000000,20000,370000,540000,4220000,630000,820000
Gabon,GAB,2006,170000,100000,3000000,20000,370000,630000,3530000,610000,760000
Gabon,GAB,2007,190000,90000,3000000,30000,430000,519999.97,2910000,770000,780000
Gabon,GAB,2008,190000,90000,3000000,30000,430000,680000,3170000,680000,770000
Gabon,GAB,2009,200000,100000,3000000,30000,410000,770000,3030000,680000,770000
Gabon,GAB,2010,270000,90000,3000000,40000,640000,920000,3010000,790000,880000
Gabon,GAB,2011,290000,90000,6250000,40000,730000,1030000,2710000,890000,850000
Gabon,GAB,2012,310000,80000,6250000,50000,750000,1110000,2400000,910000,750000
Gabon,GAB,2013,330000,70000,6250000,50000,850000,1220000,2440000,830000,750000
Gabon,GAB,2014,310000,70000,6260000,50000,830000,1200000,2640000,850000,750000
Gabon,GAB,2015,310000,80000,6260000,50000,810000,1170000,2790000,910000,790000
Gabon,GAB,2016,310000,129999.99,6260000,50000,830000,1180000,2790000,1000000,790000
Gabon,GAB,2017,210000,140000,6260000,10000,200000,490000,2690000,1550000,600000
Gabon,GAB,2018,210000,190000,6270000,10000,200000,500000,2460000,1440000,550000
Gabon,GAB,2019,210000,210000,6250000,10000,200000,500000,2610000,1390000,640000
Gabon,GAB,2020,150000,200000,6270000,10000,170000,450000,2620000,1400000,570000
Gabon,GAB,2021,140000,200000,6270000,10000,180000,440000,2390000,1490000,540000
Gambia,GMB,1990,0,0,530000,60000,80000,0,,60000,20000
Gambia,GMB,1991,0,0,530000,60000,80000,0,,60000,20000
Gambia,GMB,1992,0,0,530000,60000,80000,0,,60000,20000
Gambia,GMB,1993,0,0,530000,60000,80000,0,,60000,20000
Gambia,GMB,1994,0,0,530000,60000,80000,0,,60000,20000
Gambia,GMB,1995,0,0,530000,70000,80000,0,,60000,20000
Gambia,GMB,1996,0,0,530000,70000,80000,0,,70000,20000
Gambia,GMB,1997,0,0,530000,70000,90000,0,,70000,20000
Gambia,GMB,1998,0,0,530000,70000,90000,0,,80000,30000
Gambia,GMB,1999,0,0,530000,80000,90000,0,,80000,30000
Gambia,GMB,2000,0,0,530000,70000,90000,0,,80000,30000
Gambia,GMB,2001,0,0,530000,70000,110000,0,,120000,30000
Gambia,GMB,2002,0,0,530000,60000,120000,0,,120000,30000
Gambia,GMB,2003,0,0,530000,40000,120000,0,,140000,30000
Gambia,GMB,2004,0,0,530000,50000,120000,0,,150000,30000
Gambia,GMB,2005,0,0,530000,40000,120000,0,,160000,30000
Gambia,GMB,2006,0,0,530000,50000,120000,10000,,180000,30000
Gambia,GMB,2007,0,0,530000,60000,160000,10000,,190000,50000
Gambia,GMB,2008,0,0,530000,60000,160000,10000,,200000,50000
Gambia,GMB,2009,0,0,530000,60000,220000,10000,,190000,60000
Gambia,GMB,2010,0,0,530000,80000,70000,80000,,210000,50000
Gambia,GMB,2011,0,0,530000,70000,70000,80000,,220000,70000
Gambia,GMB,2012,0,0,530000,60000,70000,100000,,220000,50000
Gambia,GMB,2013,0,0,530000,50000,70000,80000,,220000,70000
Gambia,GMB,2014,0,0,530000,80000,80000,129999.99,,220000,40000
Gambia,GMB,2015,0,0,530000,120000,80000,140000,,240000,70000
Gambia,GMB,2016,0,0,530000,120000,80000,150000,,250000,70000
Gambia,GMB,2017,0,0,530000,110000,80000,150000,,259999.98,70000
Gambia,GMB,2018,0,0,530000,120000,80000,140000,,320000,60000
Gambia,GMB,2019,0,0,530000,120000,80000,140000,,370000,60000
Gambia,GMB,2020,0,0,530000,100000,80000,129999.99,,390000,60000
Gambia,GMB,2021,0,0,530000,110000,80000,129999.99,,400000,60000
Georgia,GEO,1990,4750000,,-18280000,519999.97,3720000,7390000,,17110000,610000
Georgia,GEO,1991,3900000,,-18280000,950000,2800000,6800000,,11060000,980000
Georgia,GEO,1992,4050000.2,200000,-18270000,630000,2330000,4040000,,8820000,790000
Georgia,GEO,1993,4230000,120000,-18270000,510000,2000000,3130000,,6110000,580000
Georgia,GEO,1994,1820000,40000,-18270000,440000,1470000,2140000,,4520000,360000
Georgia,GEO,1995,480000,40000,-18270000,350000,1030000,910000,,5370000,170000
Georgia,GEO,1996,500000,30000,-18270000,500000,2520000,1210000,,1590000,240000
Georgia,GEO,1997,830000,40000,-18270000,330000,1890000,940000,,1490000,210000
Georgia,GEO,1998,1000000,80000,-18270000,320000,1250000,770000,,1570000,300000
Georgia,GEO,1999,880000,140000,-18270000,300000,1130000,650000,,1430000,250000
Georgia,GEO,2000,1140000,140000,-18270000,200000,950000,650000,,1680000,50000
Georgia,GEO,2001,660000,129999.99,-3520000,100000,1150000,330000,,1130000,40000
Georgia,GEO,2002,470000,140000,-3520000,110000,1210000,270000,,760000,70000
Georgia,GEO,2003,500000,140000,-3520000,90000,1240000,350000,,840000,80000
Georgia,GEO,2004,560000,170000,-3520000,129999.99,1200000,259999.98,,1060000,110000
Georgia,GEO,2005,710000,180000,-3520000,290000,1510000,300000,,1260000,110000
Georgia,GEO,2006,670000,180000,-3520000,310000,1570000,430000,,1540000,110000
Georgia,GEO,2007,740000,170000,-3520000,380000,2069999.9,490000,,1770000,140000
